pfam_id,pfam_aka
PF00997,Kappa casein
PF12465,Proteasome beta subunits C terminal
PF03319,Ethanolamine utilisation protein EutN/carboxysome
PF08299,Bacterial dnaA protein helix-turn-helix
PF15880,NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial
PF01197,Ribosomal protein L31
PF09072,Translation machinery associated TMA7
PF00852,Glycosyltransferase family 10 (fucosyltransferase) C-term
PF00926,3,4-dihydroxy-2-butanone 4-phosphate synthase
PF18409,Polo-like Kinase 4 Polo Box 2
PF18039,UBA-like domain
PF00825,Ribonuclease P
PF07963,Prokaryotic N-terminal methylation motif
PF13691,tRNase Z endonuclease
PF01479,S4 domain
PF02996,Prefoldin subunit
PF18074,Primosomal protein N C-terminal domain
PF06248,Centromere/kinetochore Zw10 N-terminal
PF06136,SOSEKI protein DIX-like domain
PF03884,DNA gyrase inhibitor YacG
PF03985,Paf1
PF15061,Domain of unknown function (DUF4538)
PF20500,DNA-PKcs, N-terminal
PF02494,HYR domain
PF14721,Apoptosis-inducing factor, mitochondrion-associated, C-term
PF01113,Dihydrodipicolinate reductase, N-terminus
PF15874,Putative Interleukin 2 receptor, gamma chain
PF17971,Leukemia inhibitory factor receptor D2 domain
PF13344,Haloacid dehalogenase-like hydrolase
PF02836,Glycosyl hydrolases family 2, TIM barrel domain
PF01242,6-pyruvoyl tetrahydropterin synthase
PF11886,Translocase of chloroplast 159/132, membrane anchor domain
PF16766,Binding region of GANP to ENY2
PF14599,Zinc-ribbon
PF01187,Macrophage migration inhibitory factor (MIF)
PF03232,Ubiquinone biosynthesis protein COQ7
PF01241,Photosystem I psaG / psaK
PF03129,Anticodon binding domain
PF04376,Arginine-tRNA-protein transferase, N terminus
PF03987,Autophagocytosis associated protein, active-site domain
PF05173,Dihydrodipicolinate reductase, C-terminus
PF01834,XRCC1 N terminal domain
PF00045,Hemopexin
PF12162,STAT1 TAZ2 binding domain
PF12974,ABC transporter, phosphonate, periplasmic substrate-binding protein
PF15277,Exocyst complex component SEC3 N-terminal PIP2 binding PH
PF00759,Glycosyl hydrolase family 9
PF01502,Phosphoribosyl-AMP cyclohydrolase
PF01793,Glycolipid 2-alpha-mannosyltransferase
PF15306,LIN37
PF03162,Tyrosine phosphatase family
PF14031,Putative serine dehydratase domain
PF18402,Thioredoxin-like domain
PF16193,AAA C-terminal domain
PF03767,HAD superfamily, subfamily IIIB (Acid phosphatase)
PF12738,twin BRCT domain
PF09285,Elongation factor P, C-terminal
PF07111,Alpha helical coiled-coil rod protein (HCR)
PF05111,Ameloblastin precursor (Amelin)
PF02606,Tetraacyldisaccharide-1-P 4'-kinase
PF12717,non-SMC mitotic condensation complex subunit 1
PF00309,Sigma-54 factor, Activator interacting domain (AID)
PF02800,Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain
PF13440,Polysaccharide biosynthesis protein
PF17869,Anosmin cysteine rich domain
PF15363,BTB/POZ domain-containing protein 8, C-terminal
PF18401,Thioredoxin-like domain
PF11818,C-terminal domain of tail specific protease (DUF3340)
PF15678,Centriole duplication and mitotic chromosome congression
PF08884,Flagellin D3 domain
PF00018,SH3 domain
PF08953,Domain of unknown function (DUF1899)
PF12159,Protein of unknown function (DUF3593)
PF02538,Hydantoinase B/oxoprolinase
PF07928,Vps54-like protein
PF11628,T-cell surface glycoprotein CD3 zeta chain
PF00406,Adenylate kinase
PF12874,Zinc-finger of C2H2 type
PF05546,She9 / Mdm33 family
PF08624,Chromatin remodelling complex Rsc7/Swp82 subunit
PF02460,Patched family
PF11891,Protein RETICULATA-related
PF11411,DNA ligase IV
PF17676,LD-carboxypeptidase C-terminal domain
PF00701,Dihydrodipicolinate synthetase family
PF00499,NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF14541,Xylanase inhibitor C-terminal
PF18038,FERM N-terminal domain
PF01857,Retinoblastoma-associated protein B domain
PF20518,Anaphase-promoting complex subunit 1 middle domain
PF00071,Ras family
PF04031,Las1-like
PF12859,Anaphase-promoting complex subunit 1 WD40 beta-propeller domain
PF10462,Peptidase M66
PF11861,Ribosomal RNA methyltransferase Spb1, DUF3381
PF02447,GntP family permease
PF06393,BH3 interacting domain (BID)
PF16053,Mitochondrial 28S ribosomal protein S34
PF01458,SUF system FeS cluster assembly, SufBD
PF09240,Interleukin-6 receptor alpha chain, binding
PF00576,HIUase/Transthyretin family
PF17187,Svf1-like C-terminal lipocalin-like domain
PF17153,Periplasmic sensor domain, extracellular
PF08923,Mitogen-activated protein kinase kinase 1 interacting
PF10017,Histidine-specific methyltransferase, SAM-dependent
PF00297,Ribosomal protein L3
PF06485,RNA-binding protein Tab2/Atab2 N terminal
PF00053,Laminin EGF domain
PF02754,Cysteine-rich domain
PF01653,NAD-dependent DNA ligase adenylation domain
PF16045,LisH
PF00449,Urease alpha-subunit, N-terminal domain
PF10167,BLOC-1-related complex sub-unit 8
PF05287,PMG protein
PF18811,Dipeptidyl peptidase IV (DPP IV) low complexity region
PF00365,Phosphofructokinase
PF18442,E3 gp78 Ube2g2-binding region (G2BR)
PF05425,Copper resistance protein D
PF06951,Group XII secretory phospholipase A2 precursor (PLA2G12)
PF18700,Cytosolic arginine sensor for mTORC1 subunit 1 N-terminal domain
PF01940,Integral membrane protein DUF92
PF12423,Kinesin protein 1B
PF03108,MuDR family transposase
PF04990,RNA polymerase Rpb1, domain 7
PF18447,Fibronectin type III domain
PF01429,Methyl-CpG binding domain
PF01515,Phosphate acetyl/butaryl transferase
PF16470,Peptidase S8 pro-domain
PF18386,Roquin II domain
PF09305,TACI, cysteine-rich domain
PF02337,Retroviral GAG p10 protein
PF08528,Whi5 like
PF00240,Ubiquitin family
PF04937,Protein of unknown function (DUF 659)
PF20209,Domain of unknown function (DUF6570)
PF15510,CENP-W protein
PF00490,Delta-aminolevulinic acid dehydratase
PF12031,SWI/SNF-like complex subunit BAF250/Osa
PF15281,Consortin C-terminus
PF18014,Acetyltransferase (GNAT) domain
PF06789,MINAR1 C-terminal domain
PF02892,BED zinc finger
PF02932,Neurotransmitter-gated ion-channel transmembrane region
PF13178,Protein of unknown function (DUF4005)
PF07967,C3HC zinc finger-like
PF11028,Protein of unknown function (DUF2723)
PF00806,Pumilio-family RNA binding repeat
PF09713,Plant protein 1589 of unknown function (A_thal_3526)
PF08457,Sfi1 spindle body protein
PF12906,RING-variant domain
PF12547,Ataxin-1 like family
PF01717,Cobalamin-independent synthase, Catalytic domain
PF04180,Low temperature viability protein
PF06826,Predicted Permease Membrane Region
PF00786,P21-Rho-binding domain
PF18126,Mitochondrial ribosomal protein mL59
PF08040,MNLL subunit
PF10295,Uncharacterised protein (DUF2406)
PF14533,Ubiquitin-specific protease C-terminal
PF04773,FecR protein
PF15870,ElonginA binding-protein 1
PF18418,Ankyrin ubiquitin-binding domain
PF00961,LAGLIDADG endonuclease
PF03849,Transcription factor Tfb2
PF12399,Branched-chain amino acid ATP-binding cassette transporter
PF09291,Domain of unknown function (DUF1968)
PF04172,LrgB-like family
PF00835,SNAP-25 family
PF03399,SAC3/GANP family
PF12772,Growth hormone receptor binding
PF08317,Spc7 kinetochore protein
PF04158,Sof1-like domain
PF12257,Vacuolar membrane-associated protein Iml1
PF06725,3D domain
PF15392,Joubert syndrome-associated
PF16776,Type II inositol 1,4,5-trisphosphate 5-phosphatase PH domain
PF15795,Ectodermal ciliogenesis protein
PF01649,Ribosomal protein S20
PF01644,Chitin synthase
PF02919,Eukaryotic DNA topoisomerase I, DNA binding fragment
PF02765,Telomeric single stranded DNA binding POT1/CDC13
PF14933,CEP19-like protein
PF19256,LAIKA domain
PF06747,CHCH domain
PF01925,Sulfite exporter TauE/SafE
PF00990,Diguanylate cyclase, GGDEF domain
PF02204,Vacuolar sorting protein 9 (VPS9) domain
PF10520,Lipid desaturase domain
PF02685,Glucokinase
PF09297,NADH pyrophosphatase zinc ribbon domain
PF04790,Sarcoglycan complex subunit protein
PF02646,RmuC family
PF01808,AICARFT/IMPCHase bienzyme
PF17229,Serine/threonine-protein kinase SMG1 N-terminal
PF02866,lactate/malate dehydrogenase, alpha/beta C-terminal domain
PF16886,ATPsynthase alpha/beta subunit N-term extension
PF00771,FHIPEP family
PF07973,Threonyl and Alanyl tRNA synthetase second additional domain
PF08599,DNA damage repair protein Nbs1
PF10672,S-adenosylmethionine-dependent methyltransferase
PF15097,Immunoglobulin J chain
PF03484,tRNA synthetase B5 domain
PF05742,Transport and Golgi organisation 2
PF09334,tRNA synthetases class I (M)
PF04721,PNGase C-terminal domain, mannose-binding module PAW
PF08589,Autophagy receptor ATG43
PF06295,Protein of unknown function (DUF1043)
PF09822,ABC-type uncharacterized transport system
PF00719,Inorganic pyrophosphatase
PF08365,Insulin-like growth factor II E-peptide
PF00727,Interleukin 4
PF04074,YhcH/YjgK/YiaL
PF08912,Rho Binding
PF05552,Mechanosensitive ion channel, conserved TM helix
PF13922,PHD domain of transcriptional enhancer, Asx
PF13848,Thioredoxin-like domain
PF17721,POU domain class 2-associating factor 2
PF16920,Leucine rich repeat C-terminal motif
PF07498,Rho termination factor, N-terminal domain
PF00507,NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF03734,L,D-transpeptidase catalytic domain
PF15661,C6orf222, uncharacterised family
PF15334,Aurora kinase A and ninein interacting protein
PF09006,Lung surfactant protein D coiled-coil trimerisation
PF08429,PLU-1-like protein
PF13297,Replication stress response SDE2 C-terminal
PF06446,Hepcidin
PF09790,Hyccin
PF01394,Clathrin propeller repeat
PF06516,Purine nucleoside permease (NUP)
PF02525,Flavodoxin-like fold
PF09441,ARS binding protein 2
PF02628,Cytochrome oxidase assembly protein
PF04145,Ctr copper transporter family
PF09014,Beta-2-glycoprotein-1 fifth domain
PF17136,Ribosomal proteins 50S L24/mitochondrial 39S L24
PF16018,Anillin N-terminus
PF11620,GA-binding protein alpha chain
PF03946,Ribosomal protein L11, N-terminal domain
PF15965,TRAF-like zinc-finger
PF03161,LAGLIDADG DNA endonuclease family
PF14705,Costars
PF14580,Leucine-rich repeat
PF00673,ribosomal L5P family C-terminus
PF10477,Nucleocytoplasmic shuttling protein for mRNA cap-binding EIF4E
PF20256,Molybdopterin cofactor-binding domain
PF06203,CCT motif
PF05216,UNC-50 family
PF02673,Bacitracin resistance protein BacA
PF08920,Splicing factor 3B subunit 1
PF04050,Up-frameshift suppressor 2
PF03959,Serine hydrolase (FSH1)
PF12808,Micro-tubular organiser Mto1 C-term Mto2-binding region
PF10312,Conserved mid region of cactin
PF08647,BRE1 E3 ubiquitin ligase
PF03661,Transmembrane protein 33/Nucleoporin POM33
PF20441,Terminase large subunit, endonuclease domain
PF13415,Galactose oxidase, central domain
PF02180,Bcl-2 homology region 4
PF18376,Mevalonate 5-diphosphate decarboxylase C-terminal domain
PF02771,Acyl-CoA dehydrogenase, N-terminal domain
PF01228,Glycine radical
PF01494,FAD binding domain
PF10311,Increased loss of mitochondrial DNA protein 1
PF18717,CxC4 like cysteine cluster associated with KDZ transposases
PF15371,Domain of unknown function (DUF4599)
PF15476,Histone deacetylase complex subunit SAP25
PF10998,Protein of unknown function (DUF2838)
PF02586,SOS response associated peptidase (SRAP)
PF07063,Domain of unknown function (DUF1338), C-terminal
PF09106,Elongation factor SelB, winged helix
PF05334,Protein of unknown function (DUF719)
PF15973,Domain of unknown function (DUF4766)
PF08400,Prophage tail fibre N-terminal
PF02322,Cytochrome bd terminal oxidase subunit II
PF02899,Phage integrase, N-terminal SAM-like domain
PF08520,Fungal protein of unknown function (DUF1748)
PF13841,Beta defensin
PF01416,tRNA pseudouridine synthase
PF12752,SUZ domain
PF15871,Junction-mediating and -regulatory protein
PF16717,Ribosome-associated complex head domain
PF15384,PAXX, PAralog of XRCC4 and XLF, also called C9orf142
PF05769,SIKE family
PF01694,Rhomboid family
PF16735,Unconventional myosin-X coiled coil domain
PF12595,Inactive rhomboid proteins 1/2, N-terminal
PF17681,Gamma tubulin complex component N-terminal
PF02158,Neuregulin intracellular region
PF03271,EB1-like C-terminal motif
PF12134,PRP8 domain IV core
PF08071,RS4NT (NUC023) domain
PF15297,Cytoskeleton-associated protein 2 C-terminus
PF14676,FANCI solenoid 2
PF00925,GTP cyclohydrolase II
PF09426,Vacuolar R-SNARE Nyv1, longin domain
PF12807,Translation initiation factor eIF3 subunit 135
PF09186,Domain of unknown function (DUF1949)
PF07725,Leucine Rich Repeat
PF01251,Ribosomal protein S7e
PF05525,Branched-chain amino acid transport protein
PF02984,Cyclin, C-terminal domain
PF09038,Tumour suppressor p53-binding protein-1 Tudor
PF00358,phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1
PF15793,Shieldin complex subunit 2, C-terminal
PF08416,Phosphotyrosine-binding domain
PF10215,Oligosaccaryltransferase
PF01030,Receptor L domain
PF14834,Glutathione S-transferase, C-terminal domain
PF05185,PRMT5 arginine-N-methyltransferase
PF00743,Flavin-binding monooxygenase-like
PF08458,Plant pleckstrin homology-like region
PF14864,Alkyl sulfatase C-terminal
PF04108,Autophagy protein ATG17-like domain
PF00328,Histidine phosphatase superfamily (branch 2)
PF01439,Metallothionein
PF15450,Coiled-coil domain-containing protein 154
PF12660,Putative zinc-finger of transcription factor IIIC complex
PF16979,SAPK-interacting protein 1 (Sin1), Pleckstrin-homology
PF11947,Photosynthesis affected mutant 68
PF03152,Ubiquitin fusion degradation protein UFD1
PF00307,Calponin homology (CH) domain
PF02672,CP12 domain
PF03473,MOSC domain
PF01115,F-actin capping protein, beta subunit
PF00390,Malic enzyme, N-terminal domain
PF07264,Etoposide-induced protein 2.4 (EI24)
PF08399,VWA N-terminal
PF02537,CrcB-like protein, Camphor Resistance (CrcB)
PF20266,Mab-21 protein HhH/H2TH-like domain
PF12161,HsdM N-terminal domain
PF07723,Leucine Rich Repeat
PF15919,HicB_like antitoxin of bacterial toxin-antitoxin system
PF00343,Carbohydrate phosphorylase
PF08514,STAG domain
PF15620,Centromere assembly component CENP-C middle DNMT3B-binding region
PF14675,FANCI solenoid 1
PF11522,Yeast phosphatidylinositol-4-OH kinase Pik1
PF18269,T3SS EscN ATPase C-terminal domain
PF06495,Fruit fly transformer protein
PF00408,Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF16574,Coiled-coil region of centrosome protein CE290
PF14881,Tubulin domain
PF13508,Acetyltransferase (GNAT) domain
PF00124,Photosynthetic reaction centre protein
PF04579,Keratin, high-sulphur matrix protein
PF02155,Glucocorticoid receptor
PF03529,Otx1 transcription factor
PF19318,Family of unknown function (DUF5918)
PF01103,Omp85 superfamily domain
PF02610,L-arabinose isomerase
PF04230,Polysaccharide pyruvyl transferase
PF01716,Manganese-stabilising protein / photosystem II polypeptide
PF01222,Ergosterol biosynthesis ERG4/ERG24 family
PF08118,Yeast mitochondrial distribution and morphology (MDM) proteins
PF00003,7 transmembrane sweet-taste receptor of 3 GCPR
PF18364,Molybdopterin oxidoreductase N-terminal domain
PF18579,Rubisco accumulation factor 1 helix turn helix domain
PF04393,Protein of unknown function (DUF535)
PF16421,E2F transcription factor CC-MB domain
PF14802,TMEM192 family
PF06964,Alpha-L-arabinofuranosidase C-terminal domain
PF17051,Cytochrome C oxidase assembly factor 2
PF14924,Protein of unknown function (DUF4497)
PF05277,Protein of unknown function (DUF726)
PF12220,U1 small nuclear ribonucleoprotein of 70kDa MW N terminal
PF01277,Oleosin
PF05556,Calcineurin-binding protein (Calsarcin)
PF15186,Testis-expressed sequence 13 protein family
PF18403,Thioredoxin-like domain
PF10367,Vacuolar sorting protein 39 domain 2
PF00633,Helix-hairpin-helix motif
PF07735,F-box associated
PF03749,Sugar fermentation stimulation protein RE domain
PF14382,Exosome complex exonuclease RRP4 N-terminal region
PF14957,Cdc42 effector
PF15265,FAM196 family
PF04355,SmpA / OmlA family
PF15056,Neuritin protein family
PF09057,Second Mitochondria-derived Activator of Caspases
PF00533,BRCA1 C Terminus (BRCT) domain
PF00043,Glutathione S-transferase, C-terminal domain
PF08337,Plexin cytoplasmic RasGAP domain
PF02202,Tachykinin family
PF15703,Linker for activation of T-cells family member 2
PF00411,Ribosomal protein S11
PF13533,Biotin-lipoyl like
PF00589,Phage integrase family
PF04696,pinin/SDK/memA/ protein conserved region
PF00621,RhoGEF domain
PF01509,TruB family pseudouridylate synthase (N terminal domain)
PF05837,Centromere protein H (CENP-H)
PF10173,Mitochondrial K+-H+ exchange-related
PF00147,Fibrinogen beta and gamma chains, C-terminal globular domain
PF09298,Fumarylacetoacetase N-terminal
PF02678,Pirin
PF17760,UvrA interaction domain
PF09317,Acyl-CoA dehydrogenase, C-terminal, bacterial type
PF16662,FLYWCH-type zinc finger-containing protein 1
PF09267,Dictyostelium STAT, coiled coil
PF10255,RNA polymerase I-associated factor PAF67
PF06512,Sodium ion transport-associated
PF08381,Transcription factor regulating root and shoot growth via Pin3
PF07039,SGF29 tudor-like domain
PF01584,CheW-like domain
PF00013,KH domain
PF02200,STE like transcription factor
PF03368,Dicer dimerisation domain
PF09783,Vacuolar import and degradation protein
PF13374,Tetratricopeptide repeat
PF02431,Chalcone-flavanone isomerase
PF07368,Protein of unknown function (DUF1487)
PF05078,Protein of unknown function (DUF679)
PF04377,Arginine-tRNA-protein transferase, C terminus
PF00957,Synaptobrevin
PF00143,Interferon alpha/beta domain
PF08771,FKBP12-rapamycin binding domain
PF16101,Proline-rich membrane anchor 1
PF02364,1,3-beta-glucan synthase component
PF06813,Nodulin-like
PF08068,DKCLD (NUC011) domain
PF02935,Cytochrome c oxidase subunit VIIc
PF12308,Neurogenesis glycoprotein
PF15966,F-box
PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family
PF04777,Erv1 / Alr family
PF03511,Fanconi anaemia group A protein
PF05768,Glutaredoxin-like domain (DUF836)
PF04430,Protein of unknown function (DUF498/DUF598)
PF00860,Permease family
PF02701,Dof domain, zinc finger
PF14138,Cytochrome c oxidase assembly protein COX16
PF09051,Stannin cytoplasmic
PF13036,Peptidoglycan-synthase activator LpoB
PF01442,Apolipoprotein A1/A4/E domain
PF00815,Histidinol dehydrogenase
PF19566,Sorting nexin 8/Mvp1 BAR domain
PF13484,4Fe-4S double cluster binding domain
PF00402,Calponin family repeat
PF07715,TonB-dependent Receptor Plug Domain
PF09332,Mcm10 replication factor
PF12851,Oxygenase domain of the 2OGFeDO superfamily
PF00572,Ribosomal protein L13
PF06134,L-rhamnose isomerase (RhaA)
PF05083,LST-1 protein
PF15705,Mature oligodendrocyte transmembrane protein, TMEM132D, N-term
PF00397,WW domain
PF18580,SUN2 helix-turn-helix domain
PF10447,Exosome component EXOSC1/CSL4
PF16269,Domain of unknown function (DUF4922)
PF01405,Photosystem II reaction centre T protein
PF14976,FAM72 protein
PF12108,Splicing factor SF3a60 binding domain
PF10481,Cenp-F N-terminal domain
PF12336,SOX transcription factor
PF13242,HAD-hyrolase-like
PF04014,Antidote-toxin recognition MazE, bacterial antitoxin
PF10591,Secreted protein acidic and rich in cysteine Ca binding region
PF11636,Troponin I residues 1-32
PF07717,Oligonucleotide/oligosaccharide-binding (OB)-fold
PF11900,Domain of unknown function (DUF3420)
PF00489,Interleukin-6/G-CSF/MGF family
PF16876,Lipin/Ned1/Smp2 multi-domain protein middle domain
PF08502,LeuA allosteric (dimerisation) domain
PF14836,Ubiquitin-like domain
PF18196,Chromodomain helicase DNA-binding domain 1
PF00665,Integrase core domain
PF05328,CybS, succinate dehydrogenase cytochrome B small subunit
PF15826,Bcl-2-binding component 3, p53 upregulated modulator of apoptosis
PF10375,GRAB domain
PF12886,Transducer of regulated CREB activity, C terminus
PF02106,Fanconi anaemia group C protein
PF07224,Chlorophyllase
PF06779,Uncharacterised MFS-type transporter YbfB
PF09169,BRCA2, helical
PF09041,Aurora-A binding
PF05644,Mitochondrial and peroxisomal fission factor Mff
PF02351,GDNF/GAS1 domain
PF10493,Rough deal protein C-terminal region
PF03944,delta endotoxin
PF00068,Phospholipase A2
PF18561,Endoribonuclease Regnase 1/ ZC3H12 C-terminal domain
PF16499,Alpha galactosidase A
PF14437,MafB19-like deaminase
PF14841,FliG middle domain
PF03908,Sec20
PF03205,Molybdopterin guanine dinucleotide synthesis protein B
PF15274,Muscular LMNA-interacting protein
PF14759,Reductase C-terminal
PF20053,Wolframin cysteine-rich domain
PF15090,Domain of unknown function (DUF4553)
PF14159,CAAD domains of cyanobacterial aminoacyl-tRNA synthetase
PF02542,YgbB family
PF05542,Protein of unknown function (DUF760)
PF18487,Thrombospondin type 1 repeat
PF07730,Histidine kinase
PF01805,Surp module
PF09596,MamL-1 domain
PF04567,RNA polymerase Rpb2, domain 5
PF05192,MutS domain III
PF16025,Calcium-dependent calmodulin binding
PF15916,Domain of unknown function (DUF4743)
PF15250,Raftlin
PF17767,Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain
PF16699,Cleavage stimulation factor subunit 1, dimerisation domain
PF16756,Partner and localizer of BRCA2 WD40 domain
PF16006,Nucleolar and spindle-associated protein
PF18055,26S proteasome regulatory subunit RPN6 N-terminal domain
PF08699,Argonaute linker 1 domain
PF04716,ETC complex I subunit conserved region
PF03594,Benzoate membrane transport protein
PF15360,APJ endogenous ligand
PF04711,Apolipoprotein A-II (ApoA-II)
PF08519,Replication factor RFC1 C terminal domain
PF08801,Nup133 N terminal like
PF18018,DNA polymerase delta subunit OB-fold domain
PF06609,Fungal trichothecene efflux pump (TRI12)
PF16607,Phosphorylation region of CYLD, unstructured
PF07333,S locus-related glycoprotein 1 binding pollen coat protein (SLR1-BP)
PF13778,Domain of unknown function (DUF4174)
PF13243,Squalene-hopene cyclase C-terminal domain
PF02809,Ubiquitin interaction motif
PF02585,GlcNAc-PI de-N-acetylase
PF08204,CD47 immunoglobulin-like domain
PF20133,Protein HHL1-like
PF07106,TBPIP/Hop2 winged helix domain
PF18109,Ferredoxin I 4Fe-4S cluster domain
PF01698,Floricaula / Leafy protein SAM domain
PF04408,Helicase associated domain (HA2), winged-helix
PF12431,404
PF15327,Tankyrase binding protein C terminal domain
PF00763,Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
PF16176,T-box transcription factor-associated
PF18139,SLOG in TRPM
PF18389,TrmO C-terminal domain
PF08595,RXT2-like, N-terminal
PF01139,tRNA-splicing ligase RtcB
PF00182,Chitinase class I
PF10469,AKAP7 2'5' RNA ligase-like domain
PF03840,Preprotein translocase SecG subunit
PF08392,FAE1/Type III polyketide synthase-like protein
PF07782,DC-STAMP-like protein
PF00191,Annexin
PF09107,Elongation factor SelB, winged helix
PF11894,Nuclear pore complex scaffold, nucleoporins 186/192/205
PF04333,MlaA lipoprotein
PF03591,AzlC protein
PF01114,Colipase, N-terminal domain
PF15683,Testis development-related protein
PF01036,Bacteriorhodopsin-like protein
PF07975,TFIIH C1-like domain
PF19032,Intu longin-like domain 2
PF17951,Fatty acid synthase meander beta sheet domain
PF10291,Muniscin C-terminal mu homology domain
PF15731,Antitoxin component of bacterial toxin-antitoxin system, MqsA
PF04057,Replication factor-A protein 1, N-terminal domain
PF00154,recA bacterial DNA recombination protein
PF07817,GLE1-like protein
PF14704,Dermatopontin
PF02237,Biotin protein ligase C terminal domain
PF01426,BAH domain
PF08790,LYAR-type C2HC zinc finger
PF00528,Binding-protein-dependent transport system inner membrane component
PF02793,Hormone receptor domain
PF10476,Protein of unknown function C-terminus (DUF2448)
PF01348,Type II intron maturase
PF16679,DNA replication factor Cdt1 C-terminal domain
PF11261,Interferon regulatory factor 2-binding protein zinc finger
PF17900,Peptidase M1 N-terminal domain
PF16273,Nuclear distribution C domain
PF16450,Proteasomal ATPase OB C-terminal domain
PF07156,Prenylcysteine lyase
PF10588,NADH-ubiquinone oxidoreductase-G iron-sulfur binding region
PF01160,Vertebrate endogenous opioids neuropeptide
PF13639,Ring finger domain
PF19633,Protein SET DOMAIN GROUP 2 C-terminal
PF12053,N-terminal of Par3 and HAL proteins
PF02595,Glycerate kinase family
PF05118,Aspartyl/Asparaginyl beta-hydroxylase
PF13460,NAD(P)H-binding
PF05899,EutQ-like cupin domain
PF06880,Protein of unknown function (DUF1262)
PF06428,GDP/GTP exchange factor Sec2p
PF08740,BCS1 N terminal
PF03311,Cornichon protein
PF15148,Apolipoprotein F
PF06757,Insect allergen related repeat, nitrile-specifier detoxification
PF04987,Phosphatidylinositolglycan class N (PIG-N)
PF05486,Signal recognition particle 9 kDa protein (SRP9)
PF18212,ZNRF-3 Ectodomain
PF03669,PAT complex subunit Asterix
PF13513,HEAT-like repeat
PF16578,Interleukin 17 receptor D
PF07545,Vestigial/Tondu family
PF06500,Esterase FrsA-like
PF01498,Transposase
PF05649,Peptidase family M13
PF00119,ATP synthase A chain
PF02203,Tar ligand binding domain homologue
PF09778,Guanylylate cyclase
PF03128,CXCXC repeat
PF16508,Second BRCT domain on Nijmegen syndrome breakage protein
PF03951,Glutamine synthetase, beta-Grasp domain
PF12407,Homeobox protein
PF01756,Acyl-CoA oxidase
PF17450,Alpha galactosidase A C-terminal beta sandwich domain
PF00322,Endothelin family
PF01786,Alternative oxidase
PF00050,Kazal-type serine protease inhibitor domain
PF17865,Midasin AAA lid domain
PF00021,u-PAR/Ly-6 domain
PF03275,UDP-galactopyranose mutase
PF15254,Coiled-coil domain-containing protein 14
PF07001,BAT2 N-terminus
PF01048,Phosphorylase superfamily
PF07950,MDM10-complementing protein 1, transmembrane domain
PF09174,Maf1 regulator
PF15674,Coiled-coil domain-containing protein 23
PF06584,DIRP
PF01056,Myc amino-terminal region
PF15073,Spermatogenesis-associated protein 48
PF00634,BRCA2 repeat
PF07731,Multicopper oxidase
PF14768,Replication protein A interacting C-terminal
PF14378,PAP2 superfamily
PF15686,Lysine-rich CEACAM1 co-isolated protein family
PF06009,Laminin Domain II
PF15711,Interleukin-like EMT inducer
PF03690,Uncharacterised protein family (UPF0160)
PF15715,PCNA-associated factor histone like domain
PF07691,PA14 domain
PF05640,Na,K-Atpase Interacting protein
PF04747,Protein of unknown function, DUF612
PF07657,N terminus of Notch ligand C2-like domain
PF17064,Quiver family u-PAR/Ly-6-like domain
PF08145,BOP1NT (NUC169) domain
PF13343,Bacterial extracellular solute-binding protein
PF20268,SBDS protein, C-terminal domain
PF06750,Bacterial Peptidase A24 N-terminal domain
PF02033,Ribosome-binding factor A
PF05158,RNA polymerase Rpc34 subunit
PF01159,Ribosomal protein L6e
PF07724,AAA domain (Cdc48 subfamily)
PF03657,UPF0113 PUA domain
PF05132,RNA polymerase III RPC4
PF18104,Jumonji domain-containing protein 2A Tudor domain
PF17837,4'-phosphopantetheinyl transferase N-terminal domain
PF08508,Fungal domain of unknown function (DUF1746)
PF17970,Bacterial Alpha-2-macroglobulin MG1 domain
PF06110,Thioredoxin domain-containing protein 17-like, thioredoxin domain
PF03870,RNA polymerase Rpb8
PF11638,DnaA N-terminal domain
PF20400,BAR-like domain
PF14874,Flagellar-associated PapD-like
PF02265,S1/P1 Nuclease
PF02653,Branched-chain amino acid transport system / permease component
PF10363,Required for nuclear transport of RNA pol II C-terminus 1
PF03717,Penicillin-binding Protein dimerisation domain
PF13356,Arm DNA-binding domain
PF03799,Cell division protein FtsQ/DivIB, C-terminal
PF13177,DNA polymerase III, delta subunit
PF08271,TFIIB zinc-binding
PF05142,Domain of unknown function (DUF702)
PF00709,Adenylosuccinate synthetase
PF10181,GPI-GlcNAc transferase complex, PIG-H component
PF16616,Unstructured region on Polyhomeotic-like protein 1 and 2
PF18778,Novel AID APOBEC clade 1
PF01299,Lysosome-associated membrane glycoprotein (Lamp)
PF13933,Putative peptidase family
PF00067,Cytochrome P450
PF12009,Telomerase ribonucleoprotein complex - RNA binding domain
PF04121,Nuclear pore protein 84 / 107
PF15905,Hyaluronan mediated motility receptor N-terminal
PF03465,eRF1 domain 3
PF13249,Squalene-hopene cyclase N-terminal domain
